image_link,group_id,entity_name,entity_value,image_id,extracted_text
https://m.media-amazon.com/images/I/61I9XdN6OFL.jpg,748919,item_weight,500.0 gram,61I9XdN6OFL.jpg,"PROPOS--NATURE--INGREDIENT MENAGER--MULTI-USAGE--TERREDE--SOMMIERES--100%NATUREL--Argile 100% pure et naturelle, la terre de--Sommieres presente des proprietes absorbantes--qui permettent le nettoyage a sec des taches--recalcitrantes sur toutes les surfaces (moquette,--tapis, parquet...). Elle est aussi efficace pour--desodoriser le linge.--IngredientBentonite--Dosage conseillSelon usage--100%--500g--LABORATOIRE PROPOS'NATUREE--"
https://m.media-amazon.com/images/I/71gSRbyXmoL.jpg,916768,item_volume,1.0 cup,71gSRbyXmoL.jpg,TEARRIFIC--LEBENSMITTELECHT--Cup--HDAY--GEPRAGTES--DESIGN--AS YOULIKE--BEST--Designed in--colke--OR--Berlin--OR--cold--LIZENZIERTE UND GESCHUTZTE DESIGNS--
https://m.media-amazon.com/images/I/61BZ4zrjZXL.jpg,459516,item_weight,0.709 gram,61BZ4zrjZXL.jpg,"COMPOSITION--Serving Size:1 Tablet 0.709 g)Each serving contains (Approx.Values)--Ingredient--Qty./Serving--%RDA""--*PHOSPHOcomplexSilybin (Sillybum marianum)--200 mg--**--Dandelion Taraxacum officinale) leaf extract-101--100 mg--**--Kutki Picrorhiza kurroa)rhizome extract-0.5%Bitters--50 mg--**--Kasani Cichorium intybus seed extract-1%Bitters--25 mg--**--Punarnava Boerhavia diffusa root extract-0.07%alkaloids--25 mg--**--Bhui amla Phyllanthus amarusWP extract-0.5%Bitters--25 mg--Amla (Phyllanthus emblica) fruit extract-10%Tannins--25 mg--Licorice (Glycyrrhiza glabra) root extract- 5%Glycyrrhizin--25 mg--Vitamin E--10 mg--100--Piper nigrum fruit extract- 95%Piperine--5 mg--**--NUTRITIONAL INFORMATION PER SERVING (APPROX.VALUES)--Nutrients--Qty./Serving--%RDA#--Energy--3.04kcal--0.13--Carbohydrate--0.51 g--**--(Sugars)--0.2 g--**--Protein--0.04 g--0.07--Fat--6600--**--%RDA values established as per ICMR 2010 for sedentary lifestyle-Men--**% RDA not established by ICMR--"
https://m.media-amazon.com/images/I/612mrlqiI4L.jpg,459516,item_weight,0.709 gram,612mrlqiI4L.jpg,ZRDA'--:--11180--ZRDA--Qty./Serving--EEEE--Qty./Serving--600--6600--Serving Size:1 Tablet (0.709 gEach serving contains (Approx.Values)--1. 1h11. 1h11h1--o--5--Punarnava Boerhavia diffusa root extract-0.07z alkaloids--Bhui amla (Phyllanthus amarus) WP extract-0.5% Bitters--Kutki (Picrorhiza kurroa rhizome extract-0.5% Bitters--Dandelion Taraxacum officinale leaf extract-10:1--Kasani Cichorium endivia seed extract-1% Bitters--Amla (Phyllanthus emblica) fruit extract-10% Tannins--PHOSPHOcomplexSilybin (Silybum marianum)--Piper nigrum fruit extract-95%Piperine--a medical condition.--Ingredientd--Vitamin E--Carbohydrate--(sugging)--Enrey--Protein--
https://m.media-amazon.com/images/I/617Tl40LOXL.jpg,731432,item_weight,1400 milligram,617Tl40LOXL.jpg,Horbaach--HIGHSTRENGTH--PSYLLIOM--HUSK--1400--PLANTAGO OVATA--MG--PLANT SEEDS--FOOD--365--VEGAN--SUPPLEMENT--CAPSULES--
https://m.media-amazon.com/images/I/61QsBSE7jgL.jpg,731432,item_weight,1400 milligram,61QsBSE7jgL.jpg,Horbaach--HIGHSTRENGTH--Naturally-Sourced Psyllium--PSYLLIOM--HUSK--High strength 1400mg--per serving--1400MG--PLANTAGO OVATA--PLANT SEEDS--Suitable for Vegans & Vegetarians--FOOD--SUPPLEMENT--365--VEGAN--CAPSULES--Horbaach--
https://m.media-amazon.com/images/I/81xsq6vf2qL.jpg,731432,item_weight,1400 milligram,81xsq6vf2qL.jpg,"Horbaach--Directions: For adults, take two (2) vegan capsules--daily, preferably with a meal. Do not exceed stated dose--Nutrition Information--Typically Per Daily Dose--HIGHSTRENGTH--1400mg--Psyllium Husk Powder--PSYLLIOM--Ingredients: Psyllium Husk Powder, Capsule Shell (Hy--- droxypropylmethylcellulose), Anti-Caking Agents (Mag---nesium Salts of Fatty Acids, Silicon Dioxide).--HUSK--May contain Sesame Seeds & Mustard. For allergens,--see the ingredients in bold.--Notice: Take this product with 220ml of fluids. Taking--this product without adequate fluid may cause the pos---1400MG--sibility of choking. Do not use this product if you have--PLANTAGO OVATA--difficulty swallowing. If you experience chest pain, vom---PLANT SEEDS--iting or difficulty in swallowing or breathing after taking--this product, seek immediate medical attention. Do not--take before sleeping. Fibre products can affect the ab---sorption of many medications. Do not take this product--within 1.5 hours of taking medication.--Free From: Artificial Colour, Artificial Flavour, Artificial--Sweetener, Preservatives.--FOOD--365--VEGAN--SUPPLEMENT--CAPSULES--SUITABLE FOR VEGETARIANS & VEGANS--HU16790 C--Horbaach.--"
https://m.media-amazon.com/images/I/71DiLRHeZdL.jpg,731432,item_weight,1400 milligram,71DiLRHeZdL.jpg,VEGAN--Horbaach--WHEAT--FREE--HIGHSTRENGTH--000--PSYLLIOM--SOY--HUSK--FREE--PLANTAGO OVATA--1400MG--PLANT SEEDS--DAIRY--VEGAN--FREE--365--CAPSULES--FOOD--SUPPLEMENT--FREEFROM--PRESERVATIVES--Horbaach--
https://m.media-amazon.com/images/I/91Cma3RzseL.jpg,731432,item_weight,1400 milligram,91Cma3RzseL.jpg,Horbaach--100%--HIGHEST--QUALITY--Horbaach--TO--GMP--HIGHSTRENGTH--PSYLLIUM--GMP--HUSK--UK--PLANTAGO OVATA--1400MG--PLANT SEEDS--VEGAN--365--CAPSULES--FOOD--SUPPLEMENT--Horbaach--
https://m.media-amazon.com/images/I/71jBLhmTNlL.jpg,731432,item_weight,1400 milligram,71jBLhmTNlL.jpg,NEWOOK--SAME TRUSTED OUALITY--OLD--NEW--Horbaach--Horbaach--HIGHSTRENGTH--PSYLLIOM--HIGHSTRENGTH--HUSK--PSYLLIOM--HUSK--1400MG--be--serving--1400MG--PLANTAGO OVATA--PLANT SEEDS--FOOD--365--VEGAN--SUPPLEMENT--CAPSULES--FOOD--365--VEGAN--SUPPLEMENT--CAPSULES--Horbaach--PACKAGING MAYVARY--
